Strike,Last,% From Last,Bid,Midpoint,Ask,Change,%Chg,IV,Volume,Open Int,Type,Time
155,154.98,-50.36%,157.68,157.9,158.12,154.98,unch,235.16%,2,1,Call,06/22/20
160,0,-48.76%,152.68,152.9,153.12,0,unch,225.46%,0,0,Call,N/A
165,0,-47.15%,147.68,147.9,148.12,0,unch,216.04%,0,0,Call,N/A
170,0,-45.55%,142.68,142.9,143.12,0,unch,206.90%,0,0,Call,N/A
175,0,-43.95%,137.68,137.94,138.19,0,unch,199.79%,0,0,Call,N/A
180,0,-42.35%,132.68,132.9,133.12,0,unch,189.37%,0,0,Call,N/A
185,0,-40.75%,127.68,127.9,128.12,0,unch,180.95%,0,0,Call,N/A
190,0,-39.15%,122.68,122.91,123.14,0,unch,173.20%,0,0,Call,N/A
195,0,-37.55%,117.68,117.91,118.13,0,unch,164.95%,0,0,Call,N/A
200,102.05,-35.94%,112.68,112.9,113.12,-0.34,-0.33%,156.89%,10,30,Call,06/29/20
205,114.33,-34.34%,107.68,107.91,108.13,114.33,unch,149.44%,0,0,Call,N/A
210,0,-32.74%,102.68,102.91,103.13,0,unch,141.93%,0,0,Call,N/A
215,96.3,-31.14%,97.69,97.91,98.14,96.3,unch,134.96%,0,1,Call,N/A
220,0,-29.54%,92.69,92.91,93.13,0,unch,127.55%,0,0,Call,N/A
225,0,-27.94%,87.69,87.92,88.15,0,unch,120.81%,0,0,Call,N/A
230,0,-26.34%,82.7,82.93,83.15,0,unch,113.99%,0,0,Call,N/A
235,75,-24.73%,77.7,77.92,78.14,3,+4.17%,106.96%,1,4,Call,07/01/20
240,67.13,-23.13%,72.71,72.93,73.15,67.13,unch,100.50%,1,1,Call,06/15/20
245,59.24,-21.53%,67.71,67.93,68.15,59.24,unch,93.82%,2,2,Call,06/24/20
250,55.06,-19.93%,62.72,62.95,63.18,1.91,+3.59%,87.76%,2,6,Call,06/30/20
255,60.2,-18.33%,57.73,57.95,58.17,4.7,+8.47%,116.85%,2,5,Call,07/02/20
260,0,-16.73%,52.74,52.96,53.18,0,unch,74.97%,0,0,Call,N/A
265,0,-15.13%,47.75,47.97,48.19,0,unch,68.75%,0,0,Call,N/A
270,43.96,-13.53%,42.78,42.99,43.2,3.71,+9.22%,77.88%,1,22,Call,07/02/20
271,0,-13.21%,41.78,41.99,42.2,0,unch,61.46%,0,0,Call,N/A
272,41.72,-12.88%,40.77,40.99,41.21,41.72,unch,71.77%,1,0,Call,07/02/20
273,0,-12.56%,39.78,40,40.23,0,unch,59.18%,0,0,Call,N/A
274,38.86,-12.24%,38.78,39,39.22,2.12,+5.77%,55.03%,2,1,Call,07/02/20
275,35.75,-11.92%,37.79,38,38.22,4.75,+15.32%,56.61%,2,39,Call,07/01/20
276,26.17,-11.60%,36.8,37.02,37.24,-0.17,-0.65%,55.59%,1,26,Call,06/29/20
277,28.07,-11.28%,35.8,36.02,36.23,-5.56,-16.53%,54.21%,2,2,Call,06/25/20
278,29.71,-10.96%,34.81,35.03,35.25,1.04,+3.63%,53.18%,8,8,Call,06/25/20
279,32.84,-10.64%,33.81,34.03,34.24,4.07,+14.15%,51.81%,20,15,Call,07/01/20
280,34.42,-10.32%,32.82,33.04,33.25,2.57,+8.07%,68.02%,7,190,Call,07/02/20
281,21.8,-10.00%,31.82,32.04,32.26,-0.21,-0.95%,49.46%,19,13,Call,06/29/20
282,33.06,-9.68%,30.83,31.05,31.26,11.93,+56.46%,71.03%,1,11,Call,07/02/20
283,27.42,-9.36%,29.84,30.06,30.27,5.67,+26.07%,47.10%,1,7,Call,07/01/20
284,29.79,-9.04%,28.85,29.07,29.28,5.77,+24.02%,55.21%,5,11,Call,07/02/20
285,28.77,-8.72%,27.87,28.09,28.3,2.77,+10.65%,53.52%,21,76,Call,07/02/20
286,27.61,-8.40%,26.88,27.09,27.3,7.15,+34.95%,50.27%,1,45,Call,07/02/20
287,24.88,-8.08%,25.9,26.11,26.32,7.08,+39.78%,42.64%,25,67,Call,07/01/20
288,24.79,-7.76%,24.91,25.12,25.33,1.16,+4.91%,36.43%,1,63,Call,07/02/20
289,25.5,-7.44%,23.94,24.15,24.35,6.23,+32.33%,54.60%,10,124,Call,07/02/20
290,22.53,-7.12%,22.97,23.17,23.37,0.23,+1.03%,28.70%,130,1051,Call,07/02/20
291,18.72,-6.80%,21.99,22.2,22.4,3.06,+19.54%,38.36%,11,75,Call,06/30/20
292,23.05,-6.48%,21.02,21.23,21.43,5.35,+30.23%,54.29%,1,224,Call,07/02/20
293,20.76,-6.16%,20.06,20.27,20.47,2.7,+14.95%,41.54%,40,802,Call,07/02/20
294,20.39,-5.84%,19.1,19.3,19.5,2.74,+15.52%,45.59%,12,581,Call,07/02/20
295,18.3,-5.52%,18.15,18.34,18.53,1.88,+11.45%,33.98%,74,749,Call,07/02/20
296,17.46,-5.20%,17.21,17.4,17.59,1.79,+11.42%,34.16%,26,362,Call,07/02/20
297,16.13,-4.88%,16.26,16.45,16.64,1.24,+8.33%,29.34%,3,368,Call,07/02/20
298,14.96,-4.56%,15.34,15.53,15.71,0.53,+3.67%,26.05%,50,660,Call,07/02/20
299,13.77,-4.24%,14.41,14.59,14.78,0.9,+6.99%,22.40%,63,1027,Call,07/02/20
300,13.4,-3.92%,13.5,13.68,13.86,1.64,+13.95%,27.65%,405,1256,Call,07/02/20
301,13.9,-3.60%,12.65,12.78,12.9,2.95,+26.94%,37.50%,36,964,Call,07/02/20
