Symbol,Strike,Last,% From Last,Bid,Midpoint,Ask,Change,%Chg,IV,Volume,Open Int,Type,DTE,Exp Date,Time,Avg IV
SPY|20210115|25.00C,25,288.7,-91.99%,287.3,287.91,288.52,0.19,+0.07%,159.39%,1,2,Call,197,01/15/21,06/23/20,0.00%
SPY|20210115|30.00C,30,280.95,-90.39%,282.3,282.91,283.52,4.35,+1.57%,145.44%,2,1,Call,197,01/15/21,06/18/20,0.00%
SPY|20210115|35.00C,35,0,-88.79%,277.31,277.92,278.53,0,unch,134.22%,0,0,Call,197,01/15/21,N/A,0.00%
SPY|20210115|40.00C,40,270.95,-87.19%,272.31,272.92,273.53,-2.53,-0.93%,124.15%,2,1,Call,197,01/15/21,06/18/20,0.00%
SPY|20210115|45.00C,45,0,-85.59%,267.32,267.93,268.54,0,unch,115.72%,0,0,Call,197,01/15/21,N/A,0.00%
SPY|20210115|50.00C,50,269.6,-83.99%,262.33,262.94,263.55,269.6,unch,108.18%,0,1,Call,197,01/15/21,N/A,0.00%
SPY|20210115|55.00C,55,251.8,-82.38%,257.33,257.95,258.56,-1.2,-0.47%,101.15%,1,1,Call,197,01/15/21,06/24/20,0.00%
SPY|20210115|60.00C,60,0,-80.78%,252.35,252.96,253.57,0,unch,95.12%,0,0,Call,197,01/15/21,N/A,0.00%
SPY|20210115|65.00C,65,0,-79.18%,247.36,247.97,248.58,0,unch,89.34%,0,0,Call,197,01/15/21,N/A,0.00%
SPY|20210115|70.00C,70,162.5,-77.58%,242.37,242.98,243.59,162.5,unch,83.92%,0,0,Call,197,01/15/21,N/A,0.00%
SPY|20210115|75.00C,75,234.84,-75.98%,237.38,237.99,238.6,-2.53,-1.07%,78.80%,1,1,Call,197,01/15/21,06/24/20,0.00%
SPY|20210115|80.00C,80,0,-74.38%,232.39,233.01,233.62,0,unch,74.17%,0,0,Call,197,01/15/21,N/A,0.00%
SPY|20210115|85.00C,85,171.02,-72.78%,227.41,228.02,228.63,171.02,unch,69.73%,0,0,Call,197,01/15/21,N/A,0.00%
SPY|20210115|90.00C,90,221,-71.18%,222.42,223.04,223.65,221,unch,65.42%,3,2,Call,197,01/15/21,06/18/20,0.00%
SPY|20210115|95.00C,95,216.44,-69.57%,217.44,218.05,218.66,216.44,unch,61.16%,1100,267,Call,197,01/15/21,06/18/20,0.00%
SPY|20210115|100.00C,100,210.44,-67.97%,212.46,213.08,213.69,-1.6,-0.75%,57.67%,5,13,Call,197,01/15/21,06/22/20,0.00%
SPY|20210115|105.00C,105,205.47,-66.37%,207.48,208.1,208.71,-1.56,-0.75%,53.81%,5,5,Call,197,01/15/21,06/22/20,0.00%
SPY|20210115|110.00C,110,201.45,-64.77%,202.5,203.12,203.73,201.45,unch,49.76%,1004,268,Call,197,01/15/21,06/18/20,0.00%
SPY|20210115|115.00C,115,197,-63.17%,197.53,198.15,198.77,197,unch,47.34%,600,132,Call,197,01/15/21,06/18/20,0.00%
SPY|20210115|120.00C,120,192.03,-61.57%,192.56,193.18,193.79,192.03,unch,43.57%,2200,485,Call,197,01/15/21,06/18/20,0.00%
SPY|20210115|125.00C,125,186.57,-59.97%,187.59,188.2,188.82,186.57,unch,40.19%,5500,5,Call,197,01/15/21,06/18/20,0.00%
SPY|20210115|130.00C,130,177.22,-58.36%,182.62,183.24,183.85,3.32,+1.91%,35.91%,1699,1700,Call,197,01/15/21,06/30/20,0.00%
